session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5fc1099fbd9a1409870e2dbb,5f1363b47447d0364881fd3d,RETURNED,2020-11-27 14:13:50.994000,,3914.177954,20,165,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc109a8ba6dc4000b78ce19,5e8ca66ce6592d0350103956,APPROVED,2020-11-27 14:14:06.421000,2020-11-27 14:22:44.274000,517.853,39,318,1,100,2020-11-27 15:16:56.424000,15E9CDA0,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Male,No
5fc109ad663a6f09534b1c90,5cc0b9bccedf2000012afc45,APPROVED,2020-11-27 14:14:09.682000,2020-11-27 14:17:33.611000,203.929,,340,6,95,2020-11-27 15:16:20.377000,15E9CDA0,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5fc109af6bcebe093708db7c,5f77dfc9107b1d367b85ed3c,APPROVED,2020-11-27 14:14:07.126000,2020-11-27 14:25:08.490000,661.364,24,37,0,100,2020-11-27 15:16:29.607000,15E9CDA0,Mexico,,Full-Time,,United States,Male,No
5fc109c31de4be0a49d4eb40,5f342ad9410b5d2dfd64e8ed,APPROVED,2020-11-27 14:14:31.192000,2020-11-27 14:20:08.135000,336.943,26,202,1,100,2020-11-27 15:16:09.799000,15E9CDA0,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Female,No
5fc109e04e7d2609b65ea84d,57e7bb4e73e67300012b8e2a,TIMED-OUT,2020-11-27 14:14:56.442000,,3849.782146,52,488,1,100,,,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5fc10a170107fc09d3854e5d,5fbfc3060413243458e9666f,APPROVED,2020-11-27 14:15:57.390000,2020-11-27 14:25:42.892000,585.502,45,2,0,100,2020-11-27 15:16:18.130000,15E9CDA0,,,Full-Time,,United States,Male,No
5fc10a24c8c20c096703d3c8,5ecf1a30fa28e80008bde4e0,APPROVED,2020-11-27 14:16:10.609000,2020-11-27 14:19:02.696000,172.087,19,114,1,100,2020-11-27 15:17:16.061000,15E9CDA0,United States,United States,Unemployed (and job seeking),English,United States,Female,Yes
5fc10a4875003b0981e4a318,5db4a409d27e05000f0eaa00,RETURNED,2020-11-27 14:16:40.078000,,3746.5111,30,622,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc10a4fd6d54609792d18a9,5e8873213ea5e4000b8e125f,TIMED-OUT,2020-11-27 14:16:52.622000,,3733.967223,43,232,1,100,,,United States,United Kingdom,Other,English,United States,Female,No
5fc10a5d17efee0a25c3e2fa,5fa4d24a3f1fbe000ac5f030,RETURNED,2020-11-27 14:17:09.954000,,3716.663385,40,42,1,99,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fc10a5d34a63d0a6bcdaf74,5cde02d000d670000184ea3b,APPROVED,2020-11-27 14:17:06.242000,2020-11-27 14:20:06.810000,180.568,29,195,0,100,2020-11-27 15:17:02.134000,15E9CDA0,United States,United States,Full-Time,English,United States,Female,No
5fc10a6ccfd9e3095392a8ac,5fad531cfded5d041b2ded76,APPROVED,2020-11-27 14:17:21.516000,2020-11-27 14:42:08.869000,1487.353,52,15,0,100,2020-11-27 15:16:23.523000,15E9CDA0,United States,,Full-Time,,United States,Male,No
5fc10a7510d9330988b17684,5d168a41d9ef120017ab26b0,APPROVED,2020-11-27 14:17:27.709000,2020-11-27 14:22:27.632000,299.923,25,89,0,100,2020-11-27 15:17:01.290000,15E9CDA0,United States,United States,DATA EXPIRED,DATA EXPIRED,United States,Male,Yes
5fc10a986101c008d851bcb9,5f82ea635116d740ebc64720,APPROVED,2020-11-27 14:19:07.952000,2020-11-27 14:33:32.805000,864.853,40,50,0,100,2020-11-27 15:17:02.107000,15E9CDA0,United Kingdom,United States,Full-Time,DATA EXPIRED,United States,Female,DATA EXPIRED
5fc10d3633f2f7068eabc40d,5e68218a1b3dbf0dce23f9c3,APPROVED,2020-11-27 14:30:24.691000,2020-11-27 14:46:16.939000,952.248,22,184,0,100,2020-11-27 15:17:25.262000,15E9CDA0,United States,United States,DATA EXPIRED,English,United States,Female,No
5fc10d767eebcc09d1004050,5be10ec03e09dc00010e8ccc,APPROVED,2020-11-27 14:30:28.293000,2020-11-27 14:35:59.889000,331.596,31,205,0,100,2020-11-27 15:16:41.226000,15E9CDA0,United States,United States,Full-Time,English,United States,Male,No
5fc1110e17efee0b129f9cc4,5e3af922a4907231695c413e,APPROVED,2020-11-27 14:45:45.442000,2020-11-27 14:51:55.398000,369.956,37,427,4,98,2020-11-27 15:16:54.863000,15E9CDA0,United States,United States,Full-Time,Spanish,United States,Female,No
5fc1148c944bf70b1328e879,5f69f9dbe18c880116b0f178,APPROVED,2020-11-27 15:00:43.847000,2020-11-27 15:11:54.387000,670.54,32,49,1,99,2020-11-27 15:16:35.999000,15E9CDA0,United States,Korea,Full-Time,,United States,Female,No
